IMT, 12W - 6L, DEFEAT, NRG, VICTORY, 9W - 9L, SATURDAY, MARCH 127, 2016 , DAY 1, WEEK 8
REN, 5W - 14L, DEFEAT, C9, VICTORY, 4W - 14L, SATURDAY, MARCH 12, 2016 , DAY 1, WEEK 8
FOX, 13W - 5L, VICTORY, CLG, DEFEAT, 6W - 13L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 8
DIG, 6W - 12L, VICTORY, IMT, DEFEAT, 17W - 1L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 8
TSM, 4W - 14L, VICTORY, REN, DEFEATY, 12W - 6L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 8
NRG, 9W - 9L, DEFEAT, TL, VICTORY, 9W - 9L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 8
C9, 10W - 8L, VICTORY, TIP, DEFEAT, 5W - 14L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 8
C9, 17W - 1L, VICTORY, FOX, DEFEAT, 6W - 13L, SATURDAY, MARCH 12, 2016 , DAY 1, WEEK 9
DIG, 13W - 5L, DEFEAT, TL, VICTORY, 6W - 12L, SATURDAY, MARCH 12, 2016 , DAY 1, WEEK 9
IMT, 10W - 8L, VICTORY, TSM, DEFEAT, 9W - 9L, SATURDAY, MARCH 12, 2016 , DAY 1, WEEK 9
CLG, 12W - 6L,  VICTORY, NRG, DEFEAT, 9W - 9L, SATURDAY, MARCH 127, 2016 , DAY 1, WEEK 9
TIP, 5W - 14L, DEFEAT, REN, VICTORY, 4W - 14L, SATURDAY, MARCH 12, 2016 , DAY 1, WEEK 9
TIP, 13W - 5L, DEFEAT, REN, VICTORY, 6W - 13L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 9
TSM, 13W - 5L, DEFEAT, NRG, VICTORY, 6W - 13L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 9
CLG, 6W - 12L, VICTORY, DIG, DEFEAT, 17W - 1L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 9
TIP, 4W - 14L, DEFEAT, IMT, VICTORY, 12W - 6L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 9
TL, 9W - 9L, VICTORY, C9, DEFEAT, 9W - 9L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 9
REN, 10W - 8L, VICTORY, FOX, DEFEAT, 5W - 14L, SUNDAY, MARCH 13, 2016 , DAY 2, WEEK 9
